Subj_ID,Sess_ID,Trial_ID,SessionName,Run_idx,Rew_Money,Rew_Mag,MaxEffort,MinEffort,Time_Abs,Force_Abs,Time_trial,Force_rel,Time_trialAB,Force_relAB,AUC,AUC_normed,Points_won,Invalid_effort,Rel_Dev1,Rel_Dev2,Rel_Int,Force_rel_RAW,STD,Work,Seg,V_line,Com10D1F,T_Lat,S_Length,S_AUC,S_Slope,S_InvSlope
1,1,1,000001,2,0,10,14016,41120,518652.900368684,31058.7085427136,1.6620290839431,38.1938713441092,7357.17052833531,0.371574269107844,518653.066993907,29769.4022346369,42,0,0.355507614815518,0,33.9594132593591,37.1210576198584,5.35224237471629,0.688442211055276,1.68844221105528,0,6.39913706667933,NaN,1.87383721255927,86.8286649646649,19.8146688711062,86.3967615287911
1,1,2,000001,2,0,10,14016,41120,518671.966084748,30356.4974874372,1.65032994775096,41.5017989097776,7876.87979634002,0.397822211936365,518672.140923361,28808.6516853933,46,0,-0.0249179783213588,1.62907097080676e-16,71.311625730499,39.7118599194319,5.35224237471629,0.763819095477387,1.76381909547739,0,5.87274477464062,NaN,2.0984343607824,104.746212181023,18.3107979031262,121.075632870263
1,1,3,000001,2,1,10,14016,41120,518687.640353907,23599.11,1.65374420648121,64.9853837003049,12894.2314787485,0.647951330590378,518687.81517324,21362.6815642458,73,0,0.0708382526564344,8.88178419700125e-18,158.41088472494,64.6431891971665,5.35224237471629,0.89,1.89,0,6.88708308736718,NaN,2.66117744497489,192.234931397562,22.5244748497058,134.912608265758
1,1,4,000001,2,0,10,14016,41120,518703.522790997,30674.325,1.65436709701666,38.5403501111459,7682.40850059032,0.386050678421624,518703.697619883,29384.9217877095,43,0,-0.107438016528926,2.8421709430404e-16,213.916475267932,38.5392377508855,5.35224237471629,0.805,1.805,0,4.56956537780401,NaN,2.26562928749918,103.05804658036,16.0029993871986,102.732132095711
1,1,5,000001,2,0,10,14016,41120,518716.122147289,30278.365,1.65115938901261,40.1604704993037,7974.23258559621,0.400715205306343,518716.296947268,28918.8491620112,45,0,0.00708382526564346,1.33226762955019e-17,261.384534165392,40.0001291322314,5.35224237471629,0.815,1.815,0,4.86607142857143,NaN,2.30629787250451,108.7094396083,16.432135622766,89.365038410117
1,1,6,000001,2,1,1,14016,41120,518737.254318035,25429.42,1.65554543499864,57.6799612653185,11541.7521399055,0.579987544718872,518737.429168159,23530.8268156425,6.5,0,0.100354191263282,-1.06581410364015e-16,329.995262760019,57.890274498229,5.35224237471629,0.81,1.81,0,6.58712736127509,NaN,2.28603989399504,155.210627184462,22.5548789313307,125.453192771911
1,1,7,000001,2,1,10,14016,41120,518754.553414096,22490.03,1.65642369601788,68.8736464386724,13708.2497048406,0.688856769087468,518754.728255659,20178.3407821229,77,0,0.0354191263282173,-0.00118063754427386,426.598696193303,68.7351313459268,5.35224237471629,0.88,1.88,0,7.30578512396694,NaN,2.60987985995598,201.405848899619,24.6587844193623,133.051086256588
1,1,8,000001,2,0,1,14016,41120,518771.360827867,32210.6180904523,1.6534774668489,33.205841931646,6517.6800472255,0.329175759960883,518771.535724289,31076.1011235955,3.7,0,-0.159000433098195,0.00118657039625525,469.376137233605,32.8710961833963,5.35224237471629,0.728643216080402,1.7286432160804,0,4.33046282178306,NaN,1.98359825983661,79.9414693901609,15.1392134956558,100.071887593005
1,1,9,000001,2,1,10,14016,41120,518786.226709475,23842.1306532663,1.65273337486088,63.8984282587319,12644.1908943329,0.638595499713784,518786.40160037,21682.4494382022,72,0,0.183918411419553,-1.78528325567864e-17,544.930207237414,63.7465663619158,5.35224237471629,0.834170854271357,1.83417085427136,0,7.90116832687641,NaN,2.37987440201804,176.197189955782,26.2250759919625,142.653235785495
1,1,10,000001,2,1,10,14016,41120,518805.625725513,22426.1407035176,1.64993871259035,68.8389322063688,13685.5962219599,0.691191728381811,518805.800576288,20084.191011236,78,0,-0.0154254151513174,9.81905790623254e-17,633.853585399266,68.970850415003,5.35224237471629,0.874371859296482,1.87437185929648,0,7.48499730055235,NaN,2.56848773014019,199.046083730714,25.3568521781601,121.799842978205
