Subj_ID,Sess_ID,Trial_ID,Seg,SessionName,Run_idx,Rew_Money,Rew_Mag,MaxEffort,MinEffort,Time_Abs,Force_Abs,Time_trial,Force_rel,Time_trialAB,Force_relAB,AUC,AUC_normed,Points_won,Invalid_effort,Rel_Dev1,Rel_Dev2,Rel_Int,Force_rel_RAW,STD,Work,V_line,Com10D1F,T_Lat,S_Length,S_AUC,S_Slope,S_InvSlope
1,1,1,1,000001,2,0,10,14016,41120,518651.758794026,42432.3064516129,0.520454425830394,0,7357.1705283353,0.371574269107844,518651.925327879,42353.4047619048,42,0,0.0420721141029059,0.0038680161480748,-2.57990276639079,-4.84174458239707,5.35224237471629,0,0,2.4278049662947,NaN,1.00558140000794,0,0,0
1,1,1,2,000001,2,0,10,14016,41120,518653.416993712,25911.5328467153,2.17865411170213,55.4786890326842,7357.1705283353,0.371574269107844,518653.416993712,25911.5328467153,42,0,0.497354337765751,-0.00175048905971268,50.4954540885306,56.1115228500763,5.35224237471629,1,0,8.196382250795,NaN,2.26677049999125,126.123389255243,28.781891279928,86.3967615287911
1,1,2,1,000001,2,0,10,14016,41120,518670.700009462,43475.8723404255,0.384254661718126,0,7876.87979634003,0.397822211936365,518670.874382239,43475.5,46,0,-1.570781732774,1.13384479110654e-16,26.5254795078848,-8.69197292069632,5.35224237471629,0,0,2.16690949282825,NaN,0.745448599976953,0,0,0
1,1,2,2,000001,2,0,10,14016,41120,518672.357568553,26299.8486842105,2.04181375330058,54.3345919937221,7876.87979634002,0.397822211936365,518672.357568553,26299.8486842105,46,0,0.453079366805443,0,85.1599735756495,54.6788345476294,5.35224237471629,1,0,7.01862805256944,NaN,2.51679179997882,137.134843579102,23.972689360014,121.075632870263
1,1,3,1,000001,2,1,10,14016,41120,518686.158474055,42662,0.171864354527894,0,12894.2314787485,0.647951330590378,518686.3316579,42662,73,0,-3.00106659869057,0,70.6588700241001,-5.68919716646989,5.35224237471629,0,0,0.985429859396801,NaN,0.324757900030818,0,0,0
1,1,3,2,000001,2,1,10,14016,41120,518687.823507596,21243.0224719101,1.83689789604847,73.0172850565223,12894.2314787485,0.647951330590378,518687.823507596,21243.0224719101,73,0,0.450511885968985,0,169.256639350887,73.3359560510991,5.35224237471629,1,0,7.61650090206015,NaN,2.94994839996798,215.994304941081,25.3083987075346,134.912608265758
1,1,4,1,000001,2,0,10,14016,41120,518702.181834677,41649.1025641026,0.313410776940425,0,7682.40850059032,0.386050678421624,518702.355961778,41630.6111111111,43,0,-1.93461841189114,0.0182582568946206,166.863206113844,-1.95211984984712,5.35224237471629,0,0,2.01635485726395,NaN,0.609585300029721,0,0,0
1,1,4,2,000001,2,0,10,14016,41120,518703.847618925,28015.8385093168,1.97919502548233,47.8762113181937,7682.40850059032,0.386050678421624,518703.847618925,28015.8385093168,43,0,0.335170899117822,-0.00442280757074658,225.314472143767,48.347703256653,5.35224237471629,1,0,5.18804494489136,NaN,2.66678279999178,128.022418112248,19.8795023443461,102.732132095711
1,1,5,1,000001,2,0,10,14016,41120,518714.764721622,41873.7027027027,0.293733721633593,0,7974.23258559621,0.400715205306343,518714.9386752,41883,45,0,-1.50970037333674,0,212.172519514761,-2.78078033759852,5.35224237471629,0,0,2.54564998883181,NaN,0.573337700043339,0,0,0
1,1,5,2,000001,2,0,10,14016,41120,518716.430274588,27646.2944785276,1.95928668774282,49.2766509193911,7974.23258559621,0.400715205306343,518716.430274588,27646.2944785276,45,0,0.351384532923853,0,272.555359576885,49.7111331223155,5.35224237471629,1,0,5.39279285967797,NaN,2.6996691999957,133.385815470307,20.1621295984859,89.365038410117
1,1,6,1,000001,2,1,1,14016,41120,518735.904901492,41615.4736842105,0.306128892103994,0,11541.7521399055,0.579987544718872,518736.079044123,41618.9411764706,6.5,0,-1.47608820605232,0,258.994047290385,-1.82804635555832,5.35224237471629,0,0,3.58900220592804,NaN,0.593619899998885,0,0,0
1,1,6,2,000001,2,1,1,14016,41120,518737.570847841,21632.6913580247,1.97207524135664,71.2098287226155,11541.7521399055,0.579987544718872,518737.570847841,21632.6913580247,6.5,0,0.470136975818794,0,346.649868857834,71.8982756861545,5.35224237471629,1,0,7.29039128660341,NaN,2.68302729999414,191.618058252422,27.8455295448528,125.453192771911
1,1,7,1,000001,2,1,10,14016,41120,518753.087933992,42196.75,0.190943591679873,0,13708.2497048406,0.688856769087468,518753.2617865,42213,77,0,-3.27227223534042,9.25185853854297e-17,335.203268720279,-3.97266086186541,5.35224237471629,0,0,-2.21569387052342,NaN,0.360644300002605,0,0,0
